classified_movement,recording_timestamp,x,y,pupil_l,pupil_r,duration,ID,USER
fixation,0.0,0.24096239656209945,0.5031977593898773,2.9722320556640627,3.0426666259765627,75.0,1,Starttimelines
fixation,116.77800000458956,0.17683740258216857,0.49499460905790327,2.8413345336914064,2.910504150390625,174.0,2,Starttimelines
fixation,733.28900000453,0.35359547287225723,0.484575841575861,2.708087921142578,2.762493133544922,134.0,3,Starttimelines
fixation,949.9149999991059,0.25246107429265974,0.3833510935306549,2.6498077392578123,2.7551788330078124,83.0,4,Starttimelines
fixation,1066.5650000050664,0.21739101871138528,0.26101018985112506,2.5474947974795388,2.644465855189732,350.0,5,Starttimelines
fixation,1466.6040000021458,0.3075840269977396,0.27105107090689917,2.4987321333451704,2.5551341663707388,183.0,6,Starttimelines
fixation,1699.9580000042915,0.23075405433773993,0.4017005518078804,2.511376953125,2.519758605957031,167.0,7,Starttimelines
fixation,1899.9910000041127,0.20604331452738156,0.48433719846335327,2.5412042791193183,2.5595023415305396,183.0,8,Starttimelines
fixation,2116.6630000025034,0.19485982755819956,0.3835790471898185,2.6057010226779513,2.5854593912760415,150.0,9,Starttimelines
fixation,2299.999000005424,0.259173251156296,0.36945345039878574,2.5903919764927457,2.5553926740373885,233.0,10,Starttimelines
fixation,2583.3119999989867,0.40424754611543706,0.35952738893998637,2.5770835876464844,2.5143350137246623,634.0,11,Starttimelines
fixation,3233.259000003338,0.4929213263094425,0.35944899171590805,2.5675315856933594,2.4767189025878906,67.0,12,Starttimelines
fixation,3416.5900000035763,0.56408076394688,0.37660098617727106,,2.4574765292080967,183.0,13,Starttimelines
fixation,3633.2560000047088,0.6287990995815822,0.3697031676769257,2.5794440375434027,2.4606440952845983,592.0,14,Starttimelines
fixation,4283.274000003934,0.5895454660058022,0.263945858925581,,2.4963016510009766,134.0,15,Starttimelines
fixation,4449.951000005007,0.648984843492508,0.2719351977109909,,2.507354736328125,167.0,16,Starttimelines
fixation,4649.968000002205,0.7240826530115945,0.27168157270976473,,2.503473554338728,233.0,17,Starttimelines
fixation,4916.64999999851,0.7474157682486943,0.2649241451706205,2.6297193254743303,2.5078953334263394,117.0,18,Starttimelines
fixation,5050.001000002027,0.7803507804870605,0.2592871800065041,2.653619384765625,2.5121002197265625,84.0,19,Starttimelines
fixation,5233.352000005543,0.2223952774490629,0.3259318449667522,2.6486903599330356,2.593231201171875,116.0,20,Starttimelines
fixation,5366.701999999583,0.18093056121358164,0.3105556909684782,2.61380456995081,2.56118322301794,458.0,21,Starttimelines
fixation,6016.72500000149,0.25090284198522567,0.286760950088501,2.53104248046875,2.4967987060546877,75.0,22,Starttimelines
fixation,6183.396999999881,0.7072989626934654,0.26430360502318334,2.7675186960320723,2.6318817138671875,316.0,23,Starttimelines
fixation,6566.7360000014305,0.7446563184261322,0.26256767809391024,2.7808197021484373,2.637030029296875,83.0,24,Starttimelines
fixation,6666.73900000006,0.797950541973114,0.2624961778521538,2.7345840454101564,2.591380310058594,167.0,25,Starttimelines
fixation,6966.745000004768,0.2615757669721331,0.3222388114248003,2.712705339704241,2.670009068080357,117.0,26,Starttimelines
fixation,7100.082000002265,0.2162106457565512,0.2968863695859909,2.718510219029018,2.688464573451451,234.0,27,Starttimelines
fixation,7366.745000004768,0.29573061249472876,0.29628559811548755,2.610873135653409,2.5625762939453125,183.0,28,Starttimelines
fixation,7583.412000000477,0.3392124514688145,0.2921174602075057,2.575906926935369,2.5467945445667612,183.0,29,Starttimelines
fixation,7783.410000003874,0.41723789962438435,0.29171124673806703,2.573851365309495,2.5174490121694713,216.0,30,Starttimelines
fixation,8050.078000001609,0.47197775095701217,0.29304841309785845,2.565924072265625,2.5168296813964846,334.0,31,Starttimelines
fixation,8416.743000000715,0.3935033251841863,0.30260950922966,2.5692901611328125,2.517045084635417,250.0,32,Starttimelines
fixation,8700.072000004351,0.45383875710623606,0.30027797924620764,2.5536400931222096,2.5311486380440846,234.0,33,Starttimelines
fixation,8983.399000003934,0.50841999385092,0.29080995586183334,2.563529120551215,2.5128987630208335,150.0,34,Starttimelines
fixation,9150.067000001669,0.4530693292617798,0.29418812361028457,2.5713348388671875,2.548887464735243,150.0,35,Starttimelines
fixation,9316.729000002146,0.5199194550514221,0.2854934222996235,2.6139043172200522,2.5610885620117188,200.0,36,Starttimelines
fixation,9550.060000002384,0.6193811178207398,0.2863698035478592,2.6202545166015625,2.5478790283203123,92.0,37,Starttimelines
fixation,9800.054999999702,0.6008344888687134,0.2939917128533125,2.63189697265625,2.5743274688720703,126.0,38,Starttimelines
fixation,9950.054000005126,0.637380875647068,0.2992387575407823,2.6724878946940103,2.600872039794922,208.0,39,Starttimelines
fixation,10366.71100000292,0.66689033806324,0.288656825820605,2.6508453369140623,2.598759969075521,100.0,40,Starttimelines
fixation,10566.716000005603,0.756244434760167,0.26313416774456316,2.6921105018028846,2.6114971454326925,217.0,41,Starttimelines
fixation,10816.712999999523,0.6635582447052002,0.2781547371830259,2.596710205078125,2.5288892473493303,117.0,42,Starttimelines
fixation,10983.381000004709,0.4189548283815384,0.25583267509937285,2.5598358154296874,2.528814697265625,83.0,43,Starttimelines
fixation,11100.05000000447,0.2633926384150982,0.2559888642281294,2.5055789947509766,2.5138072967529297,134.0,44,Starttimelines
fixation,11250.04699999839,0.20004275110032824,0.262361793882317,2.502933078342014,2.5011223687065973,150.0,45,Starttimelines
fixation,11433.392999999225,0.31615975871682167,0.24796959478408098,2.4765377044677734,2.420285224914551,266.0,46,Starttimelines
fixation,11733.392999999225,0.42750075260798137,0.2517558549841245,2.4996327718098956,2.44471435546875,250.0,47,Starttimelines
fixation,12050.061999998987,0.4776012122631073,0.2615988731384277,,2.476031494140625,92.0,48,Starttimelines
fixation,12316.730000004172,0.4797153075536092,0.27418537272347343,,2.4582994249131946,150.0,49,Starttimelines
fixation,12500.061999998987,0.5794167071580887,0.26831474900245667,,2.513965606689453,67.0,50,Starttimelines
fixation,12583.396000005305,0.5780180361535814,0.272003710269928,,2.5763346354166665,150.0,51,Starttimelines
fixation,12750.065000005066,0.6425587318160317,0.2656926187601956,,2.5331171209161933,184.0,52,Starttimelines
fixation,13150.069000005722,0.7198493927717209,0.27022263407707214,,2.4970181783040366,200.0,53,Starttimelines
fixation,13383.403999999166,0.761640802025795,0.2801281102001667,,2.5654048919677734,133.0,54,Starttimelines
fixation,13533.405000001192,0.7938189820239419,0.2819233332809649,,2.528403031198602,316.0,55,Starttimelines
fixation,13933.416000001132,0.21201754063367845,0.3207935094833374,,2.585516357421875,166.0,56,Starttimelines
fixation,14116.752000004053,0.18571477755904198,0.3096212223172188,,2.5546321868896484,133.0,57,Starttimelines
fixation,14266.758000001311,0.2806252645594733,0.30372380145958494,,2.4891128540039062,233.0,58,Starttimelines
fixation,14516.766000002623,0.3175657514263602,0.300110424266142,,2.4612570369944855,283.0,59,Starttimelines
fixation,14833.443000003695,0.40275236070156095,0.2937432676553726,,2.4275848388671877,174.0,60,Starttimelines
fixation,15216.78599999845,0.4412979827477382,0.29885030022034276,,2.4863750751201925,209.0,61,Starttimelines
fixation,15466.796000003815,0.49220848580201465,0.3054600457350413,,2.5287081400553384,200.0,62,Starttimelines
fixation,15700.13599999994,0.5483418057362238,0.3068956211209297,,2.4738566080729165,200.0,63,Starttimelines
fixation,15916.81100000441,0.6157746364672979,0.30594877650340396,,2.4508132934570312,200.0,64,Starttimelines
fixation,16133.484000004828,0.664659879037312,0.3089229719979422,,2.4734159197126115,233.0,65,Starttimelines
fixation,16416.826999999583,0.6195168137550354,0.3287548065185547,,2.5072998046875,83.0,66,Starttimelines
fixation,16583.501000002027,0.22335513598389095,0.3854365249474843,,2.528717041015625,150.0,67,Starttimelines
fixation,16766.840000003576,0.19022060599591997,0.38611922330326504,,2.4955868191189237,158.0,68,Starttimelines
fixation,17133.52000000328,0.19983858242630959,0.37055495753884315,,2.4817752838134766,125.0,69,Starttimelines
fixation,17283.527000002563,0.2411519726117452,0.3723987897237142,,2.5545623779296873,250.0,70,Starttimelines
fixation,17550.204000003636,0.3262591614173009,0.367705769263781,,2.4755894587590146,217.0,71,Starttimelines
fixation,17800.212999999523,0.3840411305427551,0.37260993398152864,,2.473637507512019,217.0,72,Starttimelines
fixation,18050.223999999464,0.4624518408225133,0.3769059983583597,,2.52694819523738,217.0,73,Starttimelines
fixation,18283.569000005722,0.4378907239437103,0.3774271082878113,,2.56681396484375,416.0,74,Starttimelines
fixation,18733.58100000024,0.48318449159463245,0.3751542717218399,,2.5504328409830728,108.0,75,Starttimelines
fixation,19050.254000000656,0.5486312061548233,0.37078407406806946,,2.567279815673828,67.0,76,Starttimelines
fixation,19133.587999999523,0.5792112388918477,0.38729847246600735,,2.6251629244896675,658.0,77,Starttimelines
fixation,19866.932000003755,0.6596576021267817,0.3775222095159384,,2.5330000657301683,217.0,78,Starttimelines
fixation,20275.273000001907,0.6308964967727662,0.4286366581916809,,2.479022216796875,108.0,79,Starttimelines
fixation,20625.280000001192,0.7080313265323639,0.3671397715806961,,2.6743621826171875,67.0,80,Starttimelines
fixation,20708.618000000715,0.748179292678833,0.3818839430809021,,2.6656509399414063,166.0,81,Starttimelines
fixation,20908.62000000477,0.7875571966171264,0.38200298249721526,,2.615716552734375,166.0,82,Starttimelines
fixation,21175.291000001132,0.23861064265171686,0.40776248276233673,,2.5234781901041665,100.0,83,Starttimelines
fixation,21325.289999999106,0.17159437707492284,0.4214551512684141,,2.4528835841587613,467.0,84,Starttimelines
fixation,21858.63100000471,0.20957248968382677,0.46843581398328143,,2.490781784057617,400.0,85,Starttimelines
fixation,22291.973999999464,0.3449732992384169,0.46168438262409633,,2.5145941840277777,150.0,86,Starttimelines
fixation,22475.313000001013,0.40516584118207294,0.44966135174036026,2.6494712829589844,2.5483690897623696,200.0,87,Starttimelines
fixation,22725.315999999642,0.2248699756132232,0.46617261403136784,2.608517116970486,2.5307990180121527,150.0,88,Starttimelines
fixation,22891.984999999404,0.25190378601352376,0.4604092761874199,2.6070159912109374,2.507293701171875,100.0,89,Starttimelines
fixation,23041.987000003457,0.19633289958749497,0.46660589958940235,2.5771615164620534,2.5162571498325894,125.0,90,Starttimelines
fixation,23341.991000004113,0.2682860516584836,0.45592550245615154,2.671238825871394,2.621435312124399,225.0,91,Starttimelines
fixation,23892.005000002682,0.1804843470454216,0.5679537022815031,2.6322209975298714,2.6575900807100186,284.0,92,Starttimelines
fixation,24192.005000002682,0.1701412182301283,0.5846497640013695,,2.5908126831054688,134.0,93,Starttimelines
fixation,24392.013000003994,0.2459594064950943,0.5626024615764618,2.5446270751953124,2.48344970703125,417.0,94,Starttimelines
fixation,24842.023000001907,0.300585500895977,0.4687022715806961,2.5253982543945312,2.4543380737304688,67.0,95,Starttimelines
fixation,24925.359999999404,0.36510808307390946,0.4634226400118608,2.559422419621394,2.5013322096604567,216.0,96,Starttimelines
fixation,25158.70000000298,0.4165281043811278,0.4628198607401414,2.6542857776988638,2.5899491743607954,183.0,97,Starttimelines
fixation,25358.70300000161,0.4671904357771079,0.46441666533549625,2.6443557739257812,2.574082692464193,200.0,98,Starttimelines
fixation,25592.041000001132,0.5520057201385498,0.4598167965809504,2.63902587890625,2.576432291666667,250.0,99,Starttimelines
fixation,25858.71100000292,0.6241494991949627,0.4641921679888453,2.673797607421875,2.592322213309152,233.0,100,Starttimelines
