classified_movement,recording_timestamp,x,y,pupil_l,pupil_r,duration,ID,USER
fixation,441.8290000036359,-0.8674577176570892,0.9907935460408529,,2.7144037882486978,100.0,1,Starttimelines
fixation,658.515000000596,0.2682980477809906,0.5060055136680603,,2.7370208740234374,75.0,2,Starttimelines
fixation,825.2159999981523,-0.6272524654865265,0.8906958103179932,,2.7588531494140627,167.0,3,Starttimelines
fixation,1041.8859999999404,-0.7376745641231537,0.8749082982540131,,2.7602157592773438,100.0,4,Starttimelines
fixation,1258.527000002563,-0.7352361142635345,0.8816907584667206,,2.749339294433594,166.0,5,Starttimelines
fixation,1625.1750000044703,-0.747276782989502,0.8715347051620483,,2.773834228515625,67.0,6,Starttimelines
fixation,2025.1579999998212,-0.7327635884284973,0.8695908983548483,,2.6769688924153647,100.0,7,Starttimelines
fixation,2141.8240000009537,-0.7216584175825119,0.8749041616916656,,2.6582977294921877,333.0,8,Starttimelines
fixation,2675.1789999976754,-0.838197149336338,0.8422021344304085,,2.693643569946289,134.0,9,Starttimelines
fixation,2941.8510000035167,-1.6950079202651978,0.9952636510133743,,2.923725128173828,67.0,10,Starttimelines
fixation,3125.189999997616,0.25248555036691517,0.5492739218931931,,2.6891092153695912,217.0,11,Starttimelines
fixation,3375.1930000036955,0.21037364304065703,0.5647317290306091,,2.7058258056640625,84.0,12,Starttimelines
fixation,3658.5280000045896,-1.2611518800258636,1.1077583134174347,,2.692211151123047,66.0,13,Starttimelines
fixation,3758.5280000045896,-0.8052427470684052,0.9144258975982666,,2.570027160644531,166.0,14,Starttimelines
fixation,4025.204999998212,-0.7422765264144311,0.8622646790284377,,2.536237276517428,225.0,15,Starttimelines
fixation,4308.553000003099,-0.7303804159164429,0.8595845222473144,,2.5711273193359374,75.0,16,Starttimelines
fixation,4641.906000003219,-0.7198938926060995,0.8665865593486362,,2.638702392578125,150.0,17,Starttimelines
fixation,4925.2639999985695,0.27149495482444763,0.5717704362339444,,2.6431766086154513,150.0,18,Starttimelines
fixation,5125.277000002563,0.43972408026456833,0.42452001571655273,,2.6173839569091797,134.0,19,Starttimelines
fixation,5325.2910000011325,0.5969136729836464,0.3771279864013195,2.707061767578125,2.602437973022461,134.0,20,Starttimelines
fixation,5658.642999999225,0.6271984875202179,0.4317384213209152,2.726263863699777,2.6340441022600447,116.0,21,Starttimelines
fixation,5825.314999997616,0.6119749024510384,0.4621936231851578,2.7386512756347656,2.670825958251953,67.0,22,Starttimelines
fixation,6075.322999998927,0.21340479311488925,0.6369444791759763,2.668365478515625,2.6435699462890625,350.0,23,Starttimelines
fixation,6458.66099999845,0.3016524463891983,0.8100775182247162,,2.618499755859375,100.0,24,Starttimelines
fixation,7008.682000003755,0.2784783867272464,0.5020883990959688,2.746173095703125,2.716634576970881,183.0,25,Starttimelines
fixation,7208.686000004411,0.2158168797691663,0.5329273790121078,2.7698435465494793,2.809514363606771,250.0,26,Starttimelines
fixation,7475.351999998093,0.2113090387799523,0.43461292440241034,2.823860862038352,2.778432672674006,183.0,27,Starttimelines
fixation,7758.6810000017285,0.2249607089906931,0.5684027522802353,2.8001670837402344,2.812450408935547,67.0,28,Starttimelines
fixation,7842.016000002623,0.20952371507883072,0.5259987066189448,2.796330769856771,2.7732467651367188,100.0,29,Starttimelines
fixation,7958.682999998331,0.26880023181438445,0.5182187139987946,2.7739959716796876,2.7253173828125,91.0,30,Starttimelines
fixation,8192.017999999225,0.26404474725325905,0.5161873747905096,2.79503173828125,2.748856608072917,492.0,31,Starttimelines
fixation,8708.682999998331,0.2725700323398297,0.615318259367576,2.7077372624323917,2.642515916090745,433.0,32,Starttimelines
fixation,9175.351000003517,0.25709808038340676,0.6990973204374313,2.66939459906684,2.6311331854926214,300.0,33,Starttimelines
fixation,9542.016000002623,0.26382020115852356,0.35031960904598236,2.8136111172762783,2.747190995649858,184.0,34,Starttimelines
fixation,9792.01700000465,0.5293319414962422,0.3323132043535059,2.8246584805575283,2.6983198686079546,184.0,35,Starttimelines
fixation,10042.016000002623,0.27199710458517073,0.7858160406351089,2.6696121215820314,2.668223571777344,167.0,36,Starttimelines
fixation,10275.347999997437,0.5049443598146792,0.424337696146082,2.8660289623119213,2.7061292860243054,450.0,37,Starttimelines
fixation,10842.02199999988,0.21420295784870783,0.4605957923663987,2.8114522298177085,2.7712665134006076,300.0,38,Starttimelines
fixation,11175.36400000006,0.287749232007907,0.4495245050161313,2.7410133557441907,2.6648974296374197,650.0,39,Starttimelines
fixation,11842.038000002503,0.376851176576955,0.44813214455332073,2.8356519426618303,2.685154506138393,234.0,40,Starttimelines
fixation,12092.049000002444,0.42294186779430937,0.4629981837102345,2.9037933349609375,2.6922400338309154,234.0,41,Starttimelines
fixation,12342.046000003815,0.4851269664672705,0.4585001766681671,2.908879206730769,2.719731257512019,217.0,42,Starttimelines
fixation,12592.057000003755,0.5334858352487738,0.4520600058815696,2.882292314009233,2.695895108309659,184.0,43,Starttimelines
fixation,12808.730000004172,0.6004367445906004,0.44289152200023335,2.805194854736328,2.6596463521321616,200.0,44,Starttimelines
fixation,13042.065999999642,0.654620357354482,0.4388648877541224,2.76895751953125,2.62843017578125,250.0,45,Starttimelines
fixation,13308.73600000143,0.7281726527214051,0.4256327152252197,2.6924652099609374,2.562423095703125,417.0,46,Starttimelines
fixation,13775.410000003874,0.7969025903277926,0.3996341990100013,2.7259080674913196,2.577509562174479,150.0,47,Starttimelines
fixation,13992.07800000161,0.258965277671814,0.504864114522934,2.812701416015625,2.823455810546875,84.0,48,Starttimelines
fixation,14108.744999997318,0.25603942407502067,0.5050661596986983,2.857206556532118,2.8533393012152777,150.0,49,Starttimelines
fixation,14342.079000003636,0.7823829161269324,0.40128803359610693,2.919431413922991,2.730706351143973,234.0,50,Starttimelines
fixation,14592.085000000894,0.7518210228946474,0.4388174008991983,2.971851772732205,2.84843020968967,300.0,51,Starttimelines
fixation,14975.421000003815,0.4731374643743038,0.5138558261096478,2.988973617553711,2.8786849975585938,133.0,52,Starttimelines
fixation,15125.421000003815,0.5141859850058189,0.5129288114034213,2.8796607384314905,2.71124267578125,1083.0,53,Starttimelines
fixation,16225.429999999702,0.5049175182978313,0.513254917661349,2.791119384765625,2.60201416015625,500.0,54,Starttimelines
fixation,16742.101000003517,0.5090644732117653,0.5135040038398334,2.8454083033970425,2.681304386683873,467.0,55,Starttimelines
fixation,17275.438000001013,0.5058316084845312,0.5047540937004418,2.937468956256735,2.764226453057651,483.0,56,Starttimelines
fixation,17775.438000001013,0.4752676263451576,0.4302838167973927,2.872831072126116,2.7437951224190846,233.0,57,29
fixation,18025.439999997616,0.47592778131365776,0.48714344451824826,2.847874959309896,2.756402333577474,200.0,58,29
fixation,18275.440999999642,0.27190851072470346,0.7651254018147786,2.8519927978515627,2.7890106201171876,250.0,59,29
fixation,18608.77800000459,0.2580020747014454,0.7665425262280873,2.854894365583147,2.748197283063616,233.0,60,29
fixation,18925.45000000298,0.4833912640810013,0.46829898059368136,3.0109832763671873,2.816845703125,83.0,61,29
fixation,19058.784000001848,0.28307508097754586,0.8032979534731971,2.956181844075521,2.8476799858940973,150.0,62,29
fixation,19225.454000003636,0.3188634663820267,0.7760642929510637,2.9219526811079546,2.802767666903409,183.0,63,29
fixation,19425.45600000024,0.3661426672568688,0.7682129580240983,2.88079833984375,2.7862783578725963,216.0,64,29
fixation,19692.125,0.4377759929214205,0.7623128763266972,2.817073277064732,2.6852591378348216,117.0,65,29
fixation,19825.462999999523,0.4173584166500304,0.7536811927954356,2.82503424750434,2.710996839735243,150.0,66,29
fixation,20025.46700000018,0.48337738066911695,0.7409170478582382,2.8081787109375,2.5372894287109373,166.0,67,29
fixation,20208.800999999046,0.53392773270607,0.744074281056722,2.8369598388671875,2.6214813232421874,250.0,68,29
fixation,20475.472999997437,0.6083320453763008,0.7502272774775823,2.8673528035481772,2.6464080810546875,200.0,69,29
fixation,20692.142999999225,0.5861305981874466,0.7466192245483398,2.878648376464844,2.6794647216796874,167.0,70,29
fixation,20875.47800000012,0.6432728724820274,0.7528746426105499,2.9068385532924106,2.713679722377232,116.0,71,29
fixation,21025.480000004172,0.7046948559582233,0.7469003275036812,2.914881706237793,2.7494564056396484,266.0,72,29
fixation,21375.483999997377,0.4309287951751189,0.47055571458556433,2.952848954634233,2.8380792791193183,183.0,73,29
fixation,21575.487999998033,0.48532351532152723,0.498612251664911,2.927302769252232,2.8172073364257812,233.0,74,29
fixation,21842.160000003874,0.5197040513157845,0.7335358671844006,2.8805618286132812,2.7051544189453125,134.0,75,29
fixation,21992.16099999845,0.4881588239222765,0.7571623027324677,2.9641284942626953,2.7092533111572266,134.0,76,29
fixation,22142.163000002503,0.3786373304970124,0.7772604507558486,3.003970875459559,2.9048390107996322,284.0,77,29
fixation,22458.833999998868,0.3165208250284195,0.7765573369605201,3.0176892961774553,2.910611833844866,233.0,78,29
fixation,22742.171000003815,0.4430694557153262,0.7692509224781623,3.0133760892427883,2.8353060208834133,217.0,79,29
fixation,22992.174000002444,0.5378134780459933,0.748044749101003,2.9789903428819446,2.766018337673611,150.0,80,29
fixation,23175.513000003994,0.6818505078554153,0.751371756196022,3.0841712951660156,2.8500728607177734,133.0,81,29
fixation,23358.847999997437,0.4779417343113733,0.46841082430404163,3.1497802734375,3.003893976626189,767.0,82,29
fixation,24142.19200000167,0.5106376111507416,0.524940869637898,3.252203805106027,3.0919974190848216,117.0,83,FIX_CROS
fixation,24342.19399999827,0.5247134135829078,0.5047703186670939,3.1895548502604165,2.9915228949652777,150.0,84,FIX_CROS
fixation,24525.53100000322,0.5118347373273637,0.5046431769927343,3.069372812906901,2.8879597981770835,600.0,85,FIX_CROS
fixation,25275.538000002503,0.23461693999442187,0.3377314860170538,2.9392436634410513,2.8685968572443183,183.0,86,29.2
fixation,25475.541000001132,0.211903372572528,0.3069129917356703,2.829642401801215,2.7725050184461804,150.0,87,29.2
fixation,25658.87799999863,0.273369137942791,0.29917437508702277,2.78177490234375,2.6896591186523438,167.0,88,29.2
fixation,25875.546000003815,0.3210992097854614,0.3061008408665657,2.731439208984375,2.6273147583007814,166.0,89,29.2
